network,week,n,t,pct,rm,date
CNN,2018.635,83,280,0.29642857142857143,0.2970321648550125,2018-08-13
Fox News,2018.635,6,26,0.23076923076923078,0.28096541140019404,2018-08-13
CNN,2018.654,112,302,0.3708609271523179,0.30226495837727974,2018-08-20
Fox News,2018.654,6,21,0.2857142857142857,0.27928190971669237,2018-08-20
CNN,2018.673,73,275,0.26545454545454544,0.2728547852171066,2018-08-27
Fox News,2018.673,7,23,0.30434782608695654,0.25835430790673763,2018-08-27
CNN,2018.692,84,304,0.27631578947368424,0.24188654138083432,2018-09-03
Fox News,2018.692,8,27,0.2962962962962963,0.2139527635051932,2018-09-03
CNN,2018.712,59,330,0.1787878787878788,0.23939955699957682,2018-09-10
Fox News,2018.712,5,34,0.14705882352941177,0.1467943784120255,2018-09-10
CNN,2018.731,82,332,0.2469879518072289,0.22013610778613732,2018-09-17
Fox News,2018.731,4,37,0.10810810810810811,0.08834530433795143,2018-09-17
CNN,2018.75,58,227,0.2555066079295154,0.23080826560594614,2018-09-24
Fox News,2018.75,1,28,0.03571428571428571,0.10713615401115405,2018-09-24
CNN,2018.769,54,271,0.1992619926199262,0.24254370576915488,2018-10-01
Fox News,2018.769,2,32,0.0625,0.12498092185592188,2018-10-01
CNN,2018.788,66,298,0.2214765100671141,0.2483696560172593,2018-10-08
Fox News,2018.788,8,36,0.2222222222222222,0.18033806471306474,2018-10-08
CNN,2018.808,92,313,0.2939297124600639,0.2843529744303251,2018-10-15
Fox News,2018.808,7,39,0.1794871794871795,0.23522588522588525,2018-10-15
CNN,2018.827,75,269,0.2788104089219331,0.3090168502138766,2018-10-22
Fox News,2018.827,9,35,0.2571428571428571,0.20109890109890113,2018-10-22
CNN,2018.846,116,338,0.3431952662721893,0.3041390732616513,2018-10-29
Fox News,2018.846,11,39,0.28205128205128205,0.21872710622710625,2018-10-29
CNN,2018.865,97,303,0.3201320132013201,0.33917653219324756,2018-11-05
Fox News,2018.865,3,35,0.08571428571428572,0.260501998001998,2018-11-05
CNN,2018.885,118,430,0.2744186046511628,0.3353175149563039,2018-11-12
Fox News,2018.885,9,36,0.25,0.25248917748917754,2018-11-12
CNN,2018.904,137,327,0.41896024464831805,0.3121810633801118,2018-11-19
Fox News,2018.904,14,33,0.42424242424242425,0.24576648841354728,2018-11-19
CNN,2018.923,98,299,0.3277591973244147,0.33214784078874965,2018-11-26
Fox News,2018.923,10,40,0.25,0.2912210338680927,2018-11-26
CNN,2018.942,66,290,0.22758620689655173,0.3280467572624529,2018-12-03
Fox News,2018.942,2,34,0.058823529411764705,0.25182709447415336,2018-12-03
CNN,2018.962,124,350,0.35428571428571426,0.32009798932148376,2018-12-10
Fox News,2018.962,19,44,0.4318181818181818,0.26691330137070507,2018-12-10
CNN,2018.981,126,313,0.402555910543131,0.33379729251962564,2018-12-17
Fox News,2018.981,12,45,0.26666666666666666,0.31649313330347817,2018-12-17
CNN,2019,66,223,0.29596412556053814,0.3449326088162322,2018-12-24
Fox News,2019,9,29,0.3103448275862069,0.31568144499178985,2018-12-24
CNN,2019.019,109,386,0.2823834196891192,0.3237328835168981,2018-12-31
Fox News,2019.019,9,35,0.2571428571428571,0.3540147783251232,2018-12-31
